56,32,59,32
45,73,46,73
17,164,22,156
95,98,88,96
167,52,152,45
79,168,60,165
81,141,88,135
250,19,249,23
298,20,296,18
138,202,139,205
207,128,192,114
145,245,156,237
206,186,206,188
221,135,254,129
249,145,244,160
196,284,209,294
273,224,263,242
317,173,338,189
332,132,322,136
376,152,374,164
494,123,494,130
362,216,368,208
375,201,379,201
410,212,403,214
439,256,436,241
439,223,448,232
497,200,489,206
496,187,474,194
358,318,356,321
390,312,392,320
424,308,412,317
464,306,463,290
466,262,476,294
504,288,502,289
207,394,184,413
228,392,224,397
246,363,243,362
334,365,337,363
370,388,366,415
328,449,327,432
42,474,44,477
89,496,95,497
232,482,242,506
446,475,445,479
444,463,443,466
477,441,482,425
459,407,467,424
